epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.100982,1.76654,4.25258,1.47959,0.00093,0.2,0.00041,8e-05,1.97719,4.00484,1.72739,2e-05,2e-05,2e-05
2,0.228284,2.0127,4.44374,1.65723,0.00092,0.2,0.00041,8e-05,1.97497,4.00748,1.72453,5.9406e-05,5.9406e-05,5.9406e-05
3,0.348325,2.01373,4.21983,1.61957,0.00093,0.2,0.00041,8e-05,1.90124,3.9658,1.62133,9.802e-05,9.802e-05,9.802e-05
4,0.510592,1.93151,4.20432,1.54699,0.00185,0.4,0.00084,0.00022,1.83652,3.95783,1.54459,0.000135842,0.000135842,0.000135842
5,0.66047,1.54191,3.82482,1.32373,0.00181,0.4,0.00094,0.00035,1.57261,3.93202,1.46958,0.000172872,0.000172872,0.000172872
6,0.839446,1.55231,3.85506,1.37009,0.00182,0.4,0.00093,0.00035,1.53946,3.91507,1.46011,0.00020911,0.00020911,0.00020911
7,0.989947,1.30936,3.71769,1.14289,0.00182,0.4,0.00194,0.00059,1.54859,3.858,1.40383,0.000244556,0.000244556,0.000244556
8,1.13443,1.27,3.23071,1.15853,0.00356,0.8,0.01522,0.00558,1.22183,3.76968,1.21348,0.00027921,0.00027921,0.00027921
9,1.27948,1.31447,2.54014,1.10939,0.00426,1,0.02347,0.01233,1.09696,3.52567,1.06798,0.000313072,0.000313072,0.000313072
10,1.42206,1.36197,1.70859,1.14923,0.00423,1,0.02488,0.01288,1.1584,3.3746,1.03335,0.000346142,0.000346142,0.000346142
11,1.5685,1.257,2.19441,1.09196,0.0042,1,0.02591,0.01299,1.2688,3.29704,1.05209,0.00037842,0.00037842,0.00037842
12,1.70762,1.25823,1.55305,1.15284,0.0042,1,0.02591,0.01299,1.2688,3.29704,1.05209,0.000409906,0.000409906,0.000409906
13,1.85599,1.37176,1.93406,1.25748,0.00414,1,0.02475,0.01305,1.33555,3.2855,1.09229,0.0004406,0.0004406,0.0004406
14,2.00244,1.20126,1.3189,1.08632,0.00402,1,0.02513,0.01507,1.23843,3.29625,1.03867,0.000470502,0.000470502,0.000470502
15,2.14151,1.3859,1.5344,1.22357,0.00402,1,0.02513,0.01507,1.23843,3.29625,1.03867,0.000499612,0.000499612,0.000499612
16,2.28655,1.23293,1.50591,1.15976,0.00388,1,0.02415,0.01458,1.11381,3.32105,0.99212,0.00052793,0.00052793,0.00052793
17,2.68504,1.43062,1.65642,1.2988,0.0038,1,0.02415,0.01469,1.01826,3.34723,0.9786,0.000555456,0.000555456,0.000555456
18,2.81985,1.1581,1.47427,1.075,0.0038,1,0.02415,0.01469,1.01826,3.34723,0.9786,0.00058219,0.00058219,0.00058219
19,2.96361,1.3283,1.50681,1.19975,0.00367,1,0.02336,0.01485,0.96592,3.37707,1.00118,0.000608132,0.000608132,0.000608132
20,3.09784,1.17509,1.33352,1.14726,0.00367,1,0.02336,0.01485,0.96592,3.37707,1.00118,0.000633282,0.000633282,0.000633282
21,3.23694,1.19351,1.10868,1.03372,0.00361,1,0.02221,0.01163,1.24713,3.42509,1.15556,0.00065764,0.00065764,0.00065764
22,3.36863,1.23193,1.276,1.09128,0.00361,1,0.02221,0.01163,1.24713,3.42509,1.15556,0.000681206,0.000681206,0.000681206
23,3.50851,1.24188,1.41674,1.12087,0.0035,1,0.01141,0.00561,1.35192,3.6386,1.23872,0.00070398,0.00070398,0.00070398
24,3.64148,1.29037,1.11004,1.1163,0.0035,1,0.01141,0.00561,1.35192,3.6386,1.23872,0.000725962,0.000725962,0.000725962
25,3.78526,1.23859,1.22322,1.17729,0.00205,0.6,0.0016,0.00065,1.24397,3.74938,1.26014,0.000747152,0.000747152,0.000747152
26,3.9177,1.13994,1.11001,1.0974,0.00205,0.6,0.0016,0.00065,1.24397,3.74938,1.26014,0.00076755,0.00076755,0.00076755
27,4.05057,1.06731,1.02477,0.95055,0.00205,0.6,0.0016,0.00065,1.24397,3.74938,1.26014,0.000787156,0.000787156,0.000787156
28,4.19695,0.96146,0.96773,1.04342,0.00267,0.8,0.00392,0.00212,1.18551,3.57073,1.19544,0.00080597,0.00080597,0.00080597
29,4.32955,1.05967,1.31953,0.97232,0.00267,0.8,0.00392,0.00212,1.18551,3.57073,1.19544,0.000823992,0.000823992,0.000823992
30,4.47083,1.08604,1.04735,1.07775,0.00267,0.8,0.00684,0.00437,1.03256,3.39143,1.14908,0.000841222,0.000841222,0.000841222
31,4.60622,0.90364,0.92283,0.99215,0.00267,0.8,0.00684,0.00437,1.03256,3.39143,1.14908,0.00085766,0.00085766,0.00085766
32,4.74092,0.94974,0.98638,1.05919,0.00267,0.8,0.00684,0.00437,1.03256,3.39143,1.14908,0.000873306,0.000873306,0.000873306
33,4.88174,1.04339,1.00584,1.07626,0.00333,1,0.00815,0.00509,1.21199,3.36575,1.19618,0.00088816,0.00088816,0.00088816
34,5.0161,1.08043,1.16869,1.12921,0.00333,1,0.00815,0.00509,1.21199,3.36575,1.19618,0.000902222,0.000902222,0.000902222
35,5.15354,1.09198,1.10932,1.06321,0.00333,1,0.00815,0.00509,1.21199,3.36575,1.19618,0.000915492,0.000915492,0.000915492
36,5.29569,0.97753,0.95337,1.01424,0.00333,1,0.02337,0.01471,1.17811,3.14603,1.2014,0.00092797,0.00092797,0.00092797
37,5.53035,0.95305,1.14288,1.05743,0.00333,1,0.02337,0.01471,1.17811,3.14603,1.2014,0.000939656,0.000939656,0.000939656
38,5.66309,1.08057,1.07029,1.10171,0.00333,1,0.02337,0.01471,1.17811,3.14603,1.2014,0.00095055,0.00095055,0.00095055
39,5.80681,1.01755,0.98345,0.99713,0.00333,1,0.81939,0.5521,1.25768,2.67274,1.26548,0.000960652,0.000960652,0.000960652
40,5.94678,1.10374,1.05491,1.07496,0.00333,1,0.81939,0.5521,1.25768,2.67274,1.26548,0.000969962,0.000969962,0.000969962
41,6.08855,0.90652,0.92109,0.90136,0.00333,1,0.81939,0.5521,1.25768,2.67274,1.26548,0.00097848,0.00097848,0.00097848
42,6.23319,1.07583,0.92795,1.09216,0.32373,1,0.995,0.65483,1.29448,2.21339,1.28527,0.000986206,0.000986206,0.000986206
43,6.37193,0.88868,0.89801,0.98071,0.32373,1,0.995,0.65483,1.29448,2.21339,1.28527,0.00099314,0.00099314,0.00099314
44,6.5115,0.91419,0.87255,0.96691,0.32373,1,0.995,0.65483,1.29448,2.21339,1.28527,0.000999282,0.000999282,0.000999282
45,6.65061,0.97938,0.98579,1.05156,0.32373,1,0.995,0.65483,1.29448,2.21339,1.28527,0.00100463,0.00100463,0.00100463
46,6.83184,0.89546,0.98388,1.00515,0.90108,1,0.995,0.6563,1.28635,2.12371,1.28167,0.00100919,0.00100919,0.00100919
47,6.97247,1.05988,0.99953,1.00097,0.90108,1,0.995,0.6563,1.28635,2.12371,1.28167,0.00101296,0.00101296,0.00101296
48,7.11646,0.91379,0.94632,0.98915,0.90108,1,0.995,0.6563,1.28635,2.12371,1.28167,0.00101593,0.00101593,0.00101593
49,7.25748,0.84358,0.91768,0.99281,0.90108,1,0.995,0.6563,1.28635,2.12371,1.28167,0.00101811,0.00101811,0.00101811
50,7.41022,0.91006,1.05607,1.05872,0.93146,1,0.995,0.6046,1.22943,1.90898,1.30545,0.0010195,0.0010195,0.0010195
51,7.54331,0.9052,0.98662,0.99496,0.93146,1,0.995,0.6046,1.22943,1.90898,1.30545,0.00101,0.00101,0.00101
52,7.67986,0.93024,1.08131,1.11133,0.93146,1,0.995,0.6046,1.22943,1.90898,1.30545,0.0009902,0.0009902,0.0009902
53,7.81347,0.98816,0.96112,0.98621,0.93146,1,0.995,0.6046,1.22943,1.90898,1.30545,0.0009704,0.0009704,0.0009704
54,7.95201,0.80791,0.918,1.01661,0.97712,1,0.995,0.64245,1.29379,1.30297,1.30265,0.0009506,0.0009506,0.0009506
55,8.08391,1.03004,0.99412,1.01707,0.97712,1,0.995,0.64245,1.29379,1.30297,1.30265,0.0009308,0.0009308,0.0009308
56,8.21856,1.01164,1.03032,1.08099,0.97712,1,0.995,0.64245,1.29379,1.30297,1.30265,0.000911,0.000911,0.000911
57,8.35062,0.86993,0.98055,1.02399,0.97712,1,0.995,0.64245,1.29379,1.30297,1.30265,0.0008912,0.0008912,0.0008912
58,8.49242,0.82676,0.82157,0.97838,0.99194,1,0.995,0.6457,1.25789,1.16306,1.23796,0.0008714,0.0008714,0.0008714
